,image_name,rightHip_x,rightHip_y,leftHip_x,leftHip_y,rightShoulder_x,rightShoulder_y,leftShoulder_x,leftShoulder_y,rightElbow_x,rightElbow_y,leftElbow_x,leftElbow_y,rightWrist_x,rightWrist_y,leftWrist_x,leftWrist_y,label
0,img_0.jpg,0.75151724,0.4534112,0.74866366,0.6152923,0.46582294,0.38542613,0.4657955,0.68413013,0.6526174,0.33940047,0.67643857,0.76089615,0.7624926,0.4223892,0.77110374,0.72474325,0
1,img_1.jpg,0.7597394,0.45568806,0.76862013,0.6171278,0.4498609,0.39209995,0.45671985,0.68030953,0.6223923,0.35251433,0.63783985,0.76742125,0.76768315,0.41951692,0.75997996,0.7230126,0
2,img_2.jpg,0.7630557,0.45086715,0.7768868,0.6200568,0.43591398,0.40249643,0.43833375,0.6782183,0.6117923,0.3579148,0.61728704,0.7681149,0.7643838,0.37627423,0.75903475,0.7398875,0
3,img_3.jpg,0.7544257,0.45858246,0.7655501,0.624037,0.421869,0.40655515,0.4315388,0.6735159,0.58711165,0.3624669,0.5948123,0.7686736,0.75966346,0.35554087,0.7389051,0.75686216,0
4,img_4.jpg,0.7482163,0.46146688,0.7571315,0.62424356,0.4183579,0.4104061,0.42851853,0.66993326,0.58219934,0.35712147,0.58550406,0.7655332,0.7598392,0.3484323,0.7351317,0.7694222,0
5,img_5.jpg,0.7331745,0.46480927,0.7409965,0.62387246,0.41378868,0.4125468,0.42154908,0.6625022,0.5763736,0.35537314,0.5692228,0.75869656,0.753096,0.3375331,0.7212169,0.77997196,0
6,img_6.jpg,0.72119164,0.46246386,0.726022,0.61985517,0.41342136,0.41019303,0.41528293,0.65547895,0.57385856,0.3491227,0.5641467,0.743268,0.7532135,0.31933954,0.71903217,0.7782847,0
7,img_7.jpg,0.72054625,0.4601059,0.7273368,0.61121875,0.41226086,0.41185492,0.41486,0.65080976,0.56876516,0.34747928,0.5633448,0.74232674,0.74611044,0.3147881,0.720822,0.77856565,0
8,img_8.jpg,0.71294534,0.45734966,0.7181238,0.60245097,0.41224164,0.41330802,0.4188981,0.6393328,0.5596485,0.34583744,0.56136614,0.71961486,0.72581327,0.30957043,0.706671,0.7776763,0
9,img_9.jpg,0.71063316,0.45455474,0.7149758,0.6014223,0.41378483,0.4115656,0.4164306,0.64050347,0.55984974,0.3423403,0.56183445,0.71255624,0.71590316,0.29990292,0.7015459,0.7749156,0
